u,lowest_energy_O2_normal_form,second_energy_O2_normal_form,gap,lowest_shell4_weight,lowest_shell6_lower_weight,lowest_shell6_middle_weight,lowest_shell6_upper_weight
0.15,2.8006184999082664,3.54057654518968,0.7399580452814134,0.9471971041830795,0.01782503452341092,0.026281217675869644,0.008696643617639945
0.151,2.801112098241594,3.535436911598995,0.7343248133574014,0.945885061141826,0.01833089162195475,0.02692349159072761,0.008860555645491586
0.152,2.8015916814999002,3.530271356967418,0.7286796754675176,0.9445399051914146,0.018852011429018392,0.027581228483856197,0.009026854895710715
0.153,2.8020568835350375,3.5250799418838192,0.7230230583487818,0.9431607039954705,0.019388920492555393,0.02825481820737814,0.009195557304596192
0.154,2.8025073282167154,3.5198627282455375,0.717355400028822,0.9417464974582603,0.019942165532750508,0.02894465942619286,0.009366677582795852
0.155,2.8029426291456523,3.514619779282307,0.7116771501366546,0.9402962970099328,0.02051231423892801,0.02965115964572701,0.009540229105412272
0.156,2.803362389359567,3.509351159580049,0.7059887702204817,0.9388090848892398,0.021099956094978962,0.030374735220056206,0.009716223795725093
0.157,2.8037662010319773,3.5040569351045665,0.7002907340725892,0.9372838134257493,0.021705703233813985,0.031115811338175918,0.009894672002260558
0.158,2.8041536451638343,3.4987371732249395,0.6945835280611052,0.9357194043237453,0.02233019132129419,0.03187482198602498,0.010075582368935621
0.159,2.8045242912680077,3.4933919427366726,0.6888676514686649,0.9341147479503233,0.022974080470004883,0.03265220988166768,0.010258961698004247
0.16,2.804877697046681,3.488021313884425,0.6831436168377438,0.9324687026304586,0.02363805618316357,0.033448426380844,0.01044481480553398
0.161,2.8052134080617397,3.4826253583842774,0.6774119503225378,0.9307800939521191,0.024322830328850957,0.03426393134988505,0.010633144369145005
0.162,2.8055309573982843,3.477204149445447,0.6716731920471628,0.929047714084876,0.02502914214462223,0.03509919300275652,0.0108239507677452
0.163,2.8058298653213907,3.4717577617913453,0.6659278964699546,0.9272703211157812,0.025757759272444006,0.03595468769876821,0.011017231913006752
0.164,2.806109638926341,3.4662862716798264,0.6601766327534855,0.9254466384066998,0.026509478823734153,0.036830899697230676,0.01121298307233531
0.165,2.806369771782526,3.4607897569225847,0.6544199851400587,0.9235753539777045,0.027285128474111506,0.03772832086508528,0.011411196683099053
0.166,2.8066097435713364,3.4552682969034993,0.6486585533321629,0.9216551199215799,0.02808556758726256,0.03864745033325862,0.011611862157898788
0.167,2.8068290197183345,3.4497219725958495,0.6428929528775149,0.9196845518549903,0.028911688367111804,0.03958879409721585,0.011814965680681907
0.168,2.8070270510201283,3.444150866578159,0.6371238155580308,0.9176622284123436,0.02976441703723435,0.04055286455689466,0.01202048999352765
0.169,2.8072032732663734,3.4385550630486272,0.6313517897822538,0.9155866907889927,0.030644715046150003,0.0415401799908993,0.012228414173957855
0.17,2.8073571068574426,3.4329346478378793,0.6255775409804367,0.9134564423409409,0.03155358029685476,0.04255126395953782,0.01243871340266656
0.171,2.8074879564183273,3.4272897084198837,0.6198017520015564,0.9112699482488881,0.03249204839855744,0.04358664463095816,0.012651358721596307
0.17200000000000001,2.8075952104094575,3.4216203339208,0.6140251235113423,0.9090256352550903,0.0334611939382317,0.044646854024338246,0.012866316782339673
0.17300000000000001,2.8076782407351835,3.4159266151256484,0.608248374390465,0.9067218914821927,0.034462131769143554,0.04573242716376546,0.013083549584898156
0.17400000000000002,2.8077364023507756,3.410208644482402,0.6024722421316264,0.9043570663439588,0.03549601831303731,0.04684390113611696,0.013303014206887006
0.17500000000000002,2.807769032868872,3.4044665161033936,0.5966974832345215,0.9019294705585308,0.03656405287215449,0.04798181404596379,0.013524662523351038
0.176,2.807775452166442,3.3987003257637474,0.5909248735973054,0.899437376275708,0.037667478946657534,0.049146703860206135,0.013748440917428498
0.177,2.8077549619934143,3.392910170896442,0.5851552089030276,0.8968790173305043,0.03880758555242706,0.05033910713487699,0.0139742899821917
0.178,2.8077068455842764,3.3870961505839294,0.579389304999653,0.8942525896361498,0.039985708533478194,0.05155955761628218,0.014202144214089635
0.179,2.8076303672740504,3.381258365545718,0.5736279982716677,0.8915562517305279,0.04120323186252795,0.05280858470841664,0.014431931698527804
0.18,2.807524772120207,3.3753969181218495,0.5678721460016427,0.8887881254909766,0.0424615889223903,0.05408671179839194,0.014663573788240954
0.181,2.8073892855322287,3.3695119122516966,0.5621226267194679,0.8859462970332691,0.04376226376002537,0.05539445443145797,0.014896984775247295
0.182,2.8072231129106777,3.3636034534478467,0.556380340537169,0.8830288178114911,0.04510679230409352,0.05673231832709539,0.015132071557320029
0.183,2.8070254392977985,3.357671648764626,0.5506462094668274,0.8800337059364666,0.046496763535849146,0.05810079722761478,0.015368733300069612
0.184,2.806795429041856,3.351716606760799,0.5449211777189431,0.8769589477312433,0.04793382060211541,0.05950037057073559,0.015606861095905792
